id,original_path,checksum,arch,format,compiler_spec,size
10630,/data/hongyuan/akiba_dataset/firmline/blobs/cs35l41-dsp1-spk-prot-103c89c3-r0.bin,99ebec58c292176d5d85598ac107c0eb,n/a,n/a,n/a,5432
10631,/data/hongyuan/akiba_dataset/firmline/blobs/sms_ring11.bin,8205292de522db29f1a9ebd81bff0b31,n/a,n/a,n/a,32940
10632,/data/hongyuan/akiba_dataset/firmline/blobs/setfile_imx386.bin_1677641964,29eaed27f6e001a70a6dbf122ca30b7e,n/a,n/a,n/a,581352
10633,/data/hongyuan/akiba_dataset/firmline/blobs/slpi.b14_1677401346,f2fbd678cce6ad0cbc22f359a4c231e5,n/a,n/a,n/a,219132
10634,/data/hongyuan/akiba_dataset/firmline/blobs/rawbshutter_dsp.bin,0b85e66bea0704c38e221c460cc032aa,Xtensa:LE:32:default,Raw Binary,unknown,1217396
10635,/data/hongyuan/akiba_dataset/firmline/blobs/a630_zap.b01_1677593642,022523a2a9af46c4b54ce8c2eff8bf5c,n/a,n/a,n/a,6536
10636,/data/hongyuan/akiba_dataset/firmline/blobs/adsp.b04_1677159195,5f430ea7a879c9677e97d45bc4db5609,n/a,n/a,n/a,1961164
10637,/data/hongyuan/akiba_dataset/firmline/blobs/ipa_fws.elf_1677729577,3feb17499534fc4a006a51a0cb6cfd41,n/a,n/a,n/a,28992
10638,/data/hongyuan/akiba_dataset/firmline/blobs/sign.log_1677786748,4fe1df4eecefd95e56144f562b17a15a,n/a,n/a,n/a,7752
10639,/data/hongyuan/akiba_dataset/firmline/blobs/adsp.b15_1677177136,ac8589b1f9e28e8d6120d371179edea6,n/a,n/a,n/a,23016
10640,/data/hongyuan/akiba_dataset/firmline/blobs/G_sgame_40.bin,6a486b8b27b45578cc233200f46c8731,n/a,n/a,n/a,28315
10641,/data/hongyuan/akiba_dataset/firmline/blobs/a615_zap.elf_1677830971,3796337e396b290827ddb6ca393de6cb,n/a,n/a,n/a,14272
10642,/data/hongyuan/akiba_dataset/firmline/blobs/warp_cadence.bin,483677f3bc5e54518a714afbd146eca3,Xtensa:LE:32:default,Executable and Linking Format (ELF),unknown,32990
10643,/data/hongyuan/akiba_dataset/firmline/blobs/venus-v1.mbn_1677583754,910b25811fe888df760f5ac87d68c4a5,ARM:LE:32:v8,Executable and Linking Format (ELF),unknown,944832
10644,/data/hongyuan/akiba_dataset/firmline/blobs/ipa_uc.elf_1677158715,203d093dcb2046b34fa294c45ededda3,n/a,n/a,n/a,47860
10645,/data/hongyuan/akiba_dataset/firmline/blobs/adsp.b03_1677447895,1cd7535b1a2ac50d6beed02679fb63f0,n/a,n/a,n/a,207812
10646,/data/hongyuan/akiba_dataset/firmline/blobs/cdsp.b05_1677376024,0a225d94763f6f991dd96f94bf6a81e4,n/a,n/a,n/a,2735588
10647,/data/hongyuan/akiba_dataset/firmline/blobs/hdcp1.mdt_1677189604,33611b6a791384f15022208d0c35f9ca,ARM:LE:32:v8,Executable and Linking Format (ELF),unknown,7004
10648,/data/hongyuan/akiba_dataset/firmline/blobs/yupik_ipa_fws.mdt_1677662420,884e3e06f18092653f037b4f780ee463,n/a,n/a,n/a,6868
10649,/data/hongyuan/akiba_dataset/firmline/blobs/wl128x-fw-5-mr.bin,c00f1ec291cb022d22693870dcc5254e,ARM:LE:32:v8T,Raw Binary,unknown,361756
10650,/data/hongyuan/akiba_dataset/firmline/blobs/OLAND_rlc.bin,466d29f573fefcb60bae26b8c867d6e5,n/a,n/a,n/a,8192
10651,/data/hongyuan/akiba_dataset/firmline/blobs/a650_zap.b01_1677835023,8169cdd8ff4fa1cbdea693e24b7e1184,n/a,n/a,n/a,6712
10652,/data/hongyuan/akiba_dataset/firmline/blobs/venus.b03_1677186359,0a2ba0d95627ecdb617e9c74abf1f3ed,n/a,n/a,n/a,33536
10653,/data/hongyuan/akiba_dataset/firmline/blobs/LUT_Rd03.txt_1677193785,a55d462d4bcae3290c813b7ceea51528,n/a,n/a,n/a,15042
10654,/data/hongyuan/akiba_dataset/firmline/blobs/mt7650.bin,4352eaf9032e0a9cd1cde51a5d1f8c2e,n/a,n/a,n/a,368220
10655,/data/hongyuan/akiba_dataset/firmline/blobs/ipa_fws.b01_1677600317,d4c5b9057f16ad5e1a4abcd83c6dc4e6,n/a,n/a,n/a,6600
10656,/data/hongyuan/akiba_dataset/firmline/blobs/sim_ring10.bin_1677609613,d59c4bcf24eec3bb55e5830a17d1334e,n/a,n/a,n/a,213995
10657,/data/hongyuan/akiba_dataset/firmline/blobs/sms_ring05.bin_1677627379,abd3cf03b34c5ecd4037451f7a1aad12,n/a,n/a,n/a,49301
10658,/data/hongyuan/akiba_dataset/firmline/blobs/catcher_filter_1_ulwtg_n_PLS_PS_ONLY.bin_1677540926,07193d45d9bac4860d58505f6811a543,n/a,n/a,n/a,9564
10659,/data/hongyuan/akiba_dataset/firmline/blobs/a612_zap.elf_1677635138,d8336fa6d747ed7ed4105137d8aab87c,n/a,n/a,n/a,14240
10660,/data/hongyuan/akiba_dataset/firmline/blobs/sms_ring06.bin,cb162b0510aac17356b933527e1c797f,n/a,n/a,n/a,26750
10661,/data/hongyuan/akiba_dataset/firmline/blobs/ipa_fws.elf_1677835064,95b042efbdccf1d69e6501fbdd034d97,n/a,n/a,n/a,28992
10662,/data/hongyuan/akiba_dataset/firmline/blobs/Data.msc_1677363031,1c1aba02cf8d27a563d8762b7df4759c,n/a,n/a,n/a,530971
10663,/data/hongyuan/akiba_dataset/firmline/blobs/nvmp3dec.elf_1677813297,903a127441c3efce02678525c2e3e5e6,ARM:LE:32:v8,Executable and Linking Format (ELF),unknown,196752
10664,/data/hongyuan/akiba_dataset/firmline/blobs/aldebaran_vcn.bin,3fdaf61f7a4839184f082844fc24a589,Xtensa:LE:32:default,Raw Binary,unknown,422400
10665,/data/hongyuan/akiba_dataset/firmline/blobs/nic_AMDA0097-0001_8x10.nffw_1676931796,946c28ba9816a453642807a537ea4b5c,n/a,n/a,n/a,5185472
10666,/data/hongyuan/akiba_dataset/firmline/blobs/brcmfmac4358-pcie.bin,0194dc79c1006399d4a7411e8e9a6c9b,ARM:LE:32:v8T,Raw Binary,unknown,634361
10667,/data/hongyuan/akiba_dataset/firmline/blobs/a506_zap.elf_1677574672,561b5090984207177760ca0351969042,n/a,n/a,n/a,17492
10668,/data/hongyuan/akiba_dataset/firmline/blobs/ROMv2_lm_patch_1_0_hdr.bin_1677091076,01a24ccd4416c0993c239f8703fa4b66,n/a,n/a,n/a,179779
10669,/data/hongyuan/akiba_dataset/firmline/blobs/fdr_cadence.bin,6b629c43c48d5316606a9363bb2cacd1,Xtensa:LE:32:default,Executable and Linking Format (ELF),unknown,554242
10670,/data/hongyuan/akiba_dataset/firmline/blobs/aw8697_rtp_Hello.bin,42e517612bd68442f5f339e98f7fc468,n/a,n/a,n/a,633600
10671,/data/hongyuan/akiba_dataset/firmline/blobs/ROMv4_be_patch_1_1_hdr.bin_1677705813,68919f8e2a77144a8d4b036990d369fa,n/a,n/a,n/a,314112
10672,/data/hongyuan/akiba_dataset/firmline/blobs/slpi.b22_1677187779,bc9a6ffbebf7467a2c77fdea444a7dba,n/a,n/a,n/a,499428
10673,/data/hongyuan/akiba_dataset/firmline/blobs/nxp_lwip_tcpecho.elf,1e20400fc551e093899713279547002a,ARM:LE:32:v8,Executable and Linking Format (ELF),unknown,162924
10674,/data/hongyuan/akiba_dataset/firmline/blobs/fw_synaptics_15801b.img,14c46f91922f0380b2f4b828551fdfb8,n/a,n/a,n/a,202480
10675,/data/hongyuan/akiba_dataset/firmline/blobs/a506_zap.b01_1677574815,b192238680a63a8022cdec65cb02defd,n/a,n/a,n/a,6536
10676,/data/hongyuan/akiba_dataset/firmline/blobs/AC603_VIITA_NRF51822_V0.8.2_181126_110050.bin@9dc73d2aa6904ad0a311c2ade54a3dfb,9dc73d2aa6904ad0a311c2ade54a3dfb,ARM:LE:32:v8T,Raw Binary,unknown,94856
10677,/data/hongyuan/akiba_dataset/firmline/blobs/rtl8723cs_xx_fw,0fffb229544256ce5714f7387dab740e,n/a,n/a,n/a,28904
10678,/data/hongyuan/akiba_dataset/firmline/blobs/dxhdcp2.mdt_1677472718,5ab8cf66b355050f049691e6b0b61978,ARM:LE:32:v8,Executable and Linking Format (ELF),unknown,6748
10679,/data/hongyuan/akiba_dataset/firmline/blobs/a540_zap.elf_1677823829,dcf9080f402488b511d906a41fb2c7a9,n/a,n/a,n/a,17204
10680,/data/hongyuan/akiba_dataset/firmline/blobs/AbovCapSense.BIN_1677662492,ad8957b9b5516c3a7d9c41450f578f49,n/a,n/a,n/a,14368
10681,/data/hongyuan/akiba_dataset/firmline/blobs/adsp.b14_1677147763,04f6f41c09743a28a013f8996ff98072,n/a,n/a,n/a,78784
10682,/data/hongyuan/akiba_dataset/firmline/blobs/A_Flush_Of_Dawn.bin,388448020af7c82757f81a9126156f8c,n/a,n/a,n/a,1460844
10683,/data/hongyuan/akiba_dataset/firmline/blobs/CC_DRAM_CODE_FLASH.bin_1677738704,1d9c6e1d4bd090cd28d1eb5c6f706848,ARM:LE:32:v8T,Raw Binary,unknown,2359296
10684,/data/hongyuan/akiba_dataset/firmline/blobs/cs35l41-dsp1-spk-prot-17aa3847-spkid1-r0.bin,3544e01b9ad02f04631fb9465d4ba203,n/a,n/a,n/a,4984
10685,/data/hongyuan/akiba_dataset/firmline/blobs/cmnlib.b01_1677225588,dfd954648b13ea8e7ccc2689e1665c35,n/a,n/a,n/a,6568
10686,/data/hongyuan/akiba_dataset/firmline/blobs/wl127x-fw-5-mr.bin,8e590977aa6f9188c62d86f3a715027c,ARM:LE:32:v8T,Raw Binary,unknown,356428
10687,/data/hongyuan/akiba_dataset/firmline/blobs/sms_ring10.bin,75e58d6ff6d89c7fefae1f0baa996120,n/a,n/a,n/a,32587
10688,/data/hongyuan/akiba_dataset/firmline/blobs/venus.b02_1677679962,3610ddb9ee8451846ce39f43875045d9,ARM:LE:32:v8T,Raw Binary,unknown,828116
10689,/data/hongyuan/akiba_dataset/firmline/blobs/yupik_ipa_fws.elf_1677628565,754ee5d50a057afd8107e458e5433acd,n/a,n/a,n/a,33608
10690,/data/hongyuan/akiba_dataset/firmline/blobs/widevine.mdt_1677178864,083098736662f5cffc44d587e44e3d34,AARCH64:LE:64:v8A,Executable and Linking Format (ELF),unknown,7120
10691,/data/hongyuan/akiba_dataset/firmline/blobs/slpi.b01_1677153674,15da045812c5a937855c3166401fc7bc,n/a,n/a,n/a,7616
10692,/data/hongyuan/akiba_dataset/firmline/blobs/widevine.b07_1677344234,d3aa35944b455e28242b8750d6519198,n/a,n/a,n/a,21157
