"ID","Hash","vendor","device/MCU model"
141,"837b16a5200c4f331364dd76b36f7ea4",,
142,"95bbf2975741e7bcb4653792bef03672","ti",
143,"2231d8a19c542d9fde072bb3116ae8c8",,
144,"aa9ef6731fa144e7a7a3e4e269cf6387",,
145,"a0cb997743a991ea6606c97b9d5a33ac",,
146,"5fe20832093a6fa5d3e3cf6208ad9ff7",,
147,"b83983d059e429bad9fa48dc7bbbd8f3","cypress",
148,"816262151ef5386172c9c1efc00bdb8c",,
149,"b2a60f5c51f02891b96029f3d399610b","nordic",
150,"3bc7c4851c3b30933aee331bda9c5fe3",,
151,"2ac917074b6259c015d79251d9455c6f",,
152,"fb6d86943085329f11354fb3b7d6cdf0",,
153,"bb2694f06db48513c5810c54e4fa2c50",,
154,"c44fb7bfd3acb53ae032d0bd47cc6b51","nordic",
155,"a8f683c7c84fc8a239de464bc6f02fb0",,
156,"bb1c1351a65ffeb93b6931f9efbe4b75",,
157,"30bad7efd2974f1eb4643f150394de71",,
158,"97704511d800b25428b6946913cb0189",,
159,"835b949e114ae76deaf183873e59cbfd",,
160,"622a74f28f098c7d91c758161be9a9bf","nordic",
161,"b54e37611558788497d4bce0be4aea5b","nordic",
162,"7a8619557fcfb5d9362c5fa59f410905","nordic",
163,"71a520e39e8d330d74a639adc3e3c50d","nordic",
164,"6d5cd3b9357dfe04ccec28cbcb676d2b","nordic",
165,"78b664d0bd4def5746b33c6ea2b7323a",,
166,"95bf2bbb8cf9c3b47d35343272172d85",,
167,"45550eeb2bfeda68bf8daef1c585f9d4",,
168,"fcd758f911a354f9adcf82364ddcc741",,
169,"ec3ef7efaa63d5347030be564e83c584","dialog",
170,"0c57dc0484d0e89dd72a65cae54b6c10","dialog",
171,"9003994a537c9f369485992d7850d5aa","dialog",
172,"f0743579fb7ea15867fbccb0eedb659a","dialog",
173,"8f6f3d951e737a770b9ffa869c9d2b5f","dialog",
174,"81f57ab4512b9ea9ceab3f73998d44bd",,
175,"d47e93f6fca8f9a05b65695f5efb5490",,
176,"279cf60d5ffc01b56c6a6f6c837c0c71",,
177,"f826419373092211023041fcfce9600c",,
3662,"d0836b68f384211a4aac3b234dce7819",,
