id,gdma_basic_blocks,gdma_coverage,gdma_crashes,gdma_crash_total,multifuzz_basic_blocks,multifuzz_coverage,multifuzz_crashes,multifuzz_crash_total,hoedur_basic_blocks,hoedur_coverage,hoedur_crashes,hoedur_crash_total
1782,125,0.0026,"{""UR"": 0, ""UW"": 0, ""RV"": 0, ""UF"": 0, ""EV"": 0, ""WV"": 0, ""UI"": 0, ""Other"": 0}",0,153,0.0032,"{""UR"": 0, ""UW"": 0, ""RV"": 0, ""UF+EV"": 0, ""WV"": 0, ""UI"": 0, ""Timeout"": 1, ""Other"": 0}",1,4,0.0025,"{""UR+UW+RV+UF+EV"": 0, ""WV"": 0, ""Hang"": 2, ""Other"": 0}",0
1783,125,0.0026,"{""UR"": 0, ""UW"": 0, ""RV"": 0, ""UF"": 0, ""EV"": 0, ""WV"": 0, ""UI"": 0, ""Other"": 0}",0,153,0.0032,"{""UR"": 0, ""UW"": 0, ""RV"": 0, ""UF+EV"": 0, ""WV"": 0, ""UI"": 0, ""Timeout"": 1, ""Other"": 0}",1,5,0.0025,"{""UR+UW+RV+UF+EV"": 0, ""WV"": 0, ""Hang"": 3, ""Other"": 0}",0
1785,127,0.0026,"{""UR"": 0, ""UW"": 0, ""RV"": 0, ""UF"": 0, ""EV"": 0, ""WV"": 0, ""UI"": 0, ""Other"": 0}",0,154,0.0032,"{""UR"": 0, ""UW"": 0, ""RV"": 0, ""UF+EV"": 0, ""WV"": 0, ""UI"": 0, ""Timeout"": 1, ""Other"": 0}",1,5,0.0025,"{""UR+UW+RV+UF+EV"": 0, ""WV"": 0, ""Hang"": 3, ""Other"": 0}",0
1787,604,0.0554,"{""UR"": 0, ""UW"": 27, ""RV"": 0, ""UF"": 0, ""EV"": 0, ""WV"": 0, ""UI"": 0, ""Other"": 0}",27,586,0.0513,"{""UR"": 0, ""UW"": 1, ""RV"": 0, ""UF+EV"": 0, ""WV"": 0, ""UI"": 0, ""Timeout"": 1, ""Other"": 0}",2,73,0.0510,"{""UR+UW+RV+UF+EV"": 1, ""WV"": 0, ""Hang"": 35, ""Other"": 0}",33
1788,606,0.0552,"{""UR"": 0, ""UW"": 43, ""RV"": 0, ""UF"": 0, ""EV"": 0, ""WV"": 0, ""UI"": 0, ""Other"": 0}",43,593,0.0517,"{""UR"": 0, ""UW"": 1, ""RV"": 0, ""UF+EV"": 0, ""WV"": 0, ""UI"": 0, ""Timeout"": 1, ""Other"": 0}",2,73,0.0508,"{""UR+UW+RV+UF+EV"": 1, ""WV"": 0, ""Hang"": 36, ""Other"": 0}",35
1795,556,0.1317,"{""UR"": 551, ""UW"": 0, ""RV"": 0, ""UF"": 0, ""EV"": 0, ""WV"": 0, ""UI"": 0, ""Other"": 0}",551,1968,0.3263,"{""UR"": 1, ""UW"": 0, ""RV"": 0, ""UF+EV"": 0, ""WV"": 0, ""UI"": 0, ""Timeout"": 1, ""Other"": 0}",2,,,,
1799,987,0.1388,"{""UR"": 0, ""UW"": 0, ""RV"": 0, ""UF"": 0, ""EV"": 0, ""WV"": 0, ""UI"": 0, ""Other"": 0}",0,1053,0.1503,"{""UR"": 0, ""UW"": 0, ""RV"": 0, ""UF+EV"": 0, ""WV"": 0, ""UI"": 0, ""Timeout"": 19, ""Other"": 0}",19,326,0.1501,"{""UR+UW+RV+UF+EV"": 0, ""WV"": 0, ""Hang"": 33, ""Other"": 0}",0
1800,1011,0.1298,"{""UR"": 0, ""UW"": 0, ""RV"": 0, ""UF"": 0, ""EV"": 0, ""WV"": 0, ""UI"": 0, ""Other"": 0}",0,1036,0.1337,"{""UR"": 0, ""UW"": 0, ""RV"": 0, ""UF+EV"": 0, ""WV"": 0, ""UI"": 0, ""Timeout"": 20, ""Other"": 0}",20,320,0.1353,"{""UR+UW+RV+UF+EV"": 0, ""WV"": 0, ""Hang"": 45, ""Other"": 0}",1
1821,,,,,53,0.0087,"{""UR"": 0, ""UW"": 0, ""RV"": 0, ""UF+EV"": 0, ""WV"": 0, ""UI"": 0, ""Timeout"": 1, ""Other"": 0}",1,90,0.0648,"{""UR+UW+RV+UF+EV"": 0, ""WV"": 0, ""Hang"": 20, ""Other"": 0}",0
1822,,,,,53,0.0088,"{""UR"": 0, ""UW"": 0, ""RV"": 0, ""UF+EV"": 0, ""WV"": 0, ""UI"": 0, ""Timeout"": 1, ""Other"": 0}",1,73,0.0629,"{""UR+UW+RV+UF+EV"": 0, ""WV"": 0, ""Hang"": 17, ""Other"": 0}",0
