id,crash_input,input_file,max_score,verdict,firmrca_result
668,"id:000062,sig:11,src:000001+000673,op:splice,rep:128","main004/fuzzers/fuzzer1/crashes/id:000062,sig:11,src:000001+000673,op:splice,rep:128",99,success,"{""candidates"": [{""addr"": ""0x3e56"", ""score"": 99}, {""addr"": ""0x3e56"", ""score"": 99}, {""addr"": ""0x3e5c"", ""score"": 98}, {""addr"": ""0x3e5a"", ""score"": 98}, {""addr"": ""0x3e52"", ""score"": 98}, {""addr"": ""0x3e50"", ""score"": 98}, {""addr"": ""0x3e5c"", ""score"": 98}, {""addr"": ""0x3e5a"", ""score"": 98}, {""addr"": ""0x3e52"", ""score"": 98}, {""addr"": ""0x3e50"", ""score"": 98}, {""addr"": ""0x3e58"", ""score"": 96}, {""addr"": ""0x3e58"", ""score"": 96}, {""addr"": ""0x3e58"", ""score"": 96}, {""addr"": ""0x3e58"", ""score"": 96}]}"
668,"id:000170,sig:11,src:000003+000231,op:splice,rep:64","main004/fuzzers/fuzzer1/crashes/id:000170,sig:11,src:000003+000231,op:splice,rep:64",,failed,"{""candidates"": []}"
668,"id:000101,sig:11,src:000001+001027,op:splice,rep:128","main004/fuzzers/fuzzer1/crashes/id:000101,sig:11,src:000001+001027,op:splice,rep:128",99,success,"{""candidates"": [{""addr"": ""0x3e56"", ""score"": 99}, {""addr"": ""0x3e56"", ""score"": 99}, {""addr"": ""0x3e5c"", ""score"": 98}, {""addr"": ""0x3e5a"", ""score"": 98}, {""addr"": ""0x3e52"", ""score"": 98}, {""addr"": ""0x3e50"", ""score"": 98}, {""addr"": ""0x3e5c"", ""score"": 98}, {""addr"": ""0x3e5a"", ""score"": 98}, {""addr"": ""0x3e52"", ""score"": 98}, {""addr"": ""0x3e50"", ""score"": 98}, {""addr"": ""0x3e58"", ""score"": 96}, {""addr"": ""0x3e58"", ""score"": 96}, {""addr"": ""0x3e58"", ""score"": 96}, {""addr"": ""0x3e58"", ""score"": 96}]}"
668,"id:000102,sig:11,src:000001+001027,op:splice,rep:128","main004/fuzzers/fuzzer1/crashes/id:000102,sig:11,src:000001+001027,op:splice,rep:128",100,success,"{""candidates"": [{""addr"": ""0x3e8a"", ""score"": 100}, {""addr"": ""0x417c"", ""score"": 99}, {""addr"": ""0x3e9a"", ""score"": 99}, {""addr"": ""0x3e98"", ""score"": 99}, {""addr"": ""0x3e8c"", ""score"": 98}, {""addr"": ""0x3e8c"", ""score"": 98}]}"
668,"id:000156,sig:11,src:000001+001024,op:splice,rep:128","main004/fuzzers/fuzzer1/crashes/id:000156,sig:11,src:000001+001024,op:splice,rep:128",99,success,"{""candidates"": [{""addr"": ""0x3e56"", ""score"": 99}, {""addr"": ""0x3e56"", ""score"": 99}, {""addr"": ""0x3e5c"", ""score"": 98}, {""addr"": ""0x3e5a"", ""score"": 98}, {""addr"": ""0x3e52"", ""score"": 98}, {""addr"": ""0x3e50"", ""score"": 98}, {""addr"": ""0x3e5c"", ""score"": 98}, {""addr"": ""0x3e5a"", ""score"": 98}, {""addr"": ""0x3e52"", ""score"": 98}, {""addr"": ""0x3e50"", ""score"": 98}, {""addr"": ""0x3e58"", ""score"": 96}, {""addr"": ""0x3e58"", ""score"": 96}, {""addr"": ""0x3e58"", ""score"": 96}, {""addr"": ""0x3e58"", ""score"": 96}]}"
668,"id:000104,sig:11,src:000001+001027,op:splice,rep:128","main004/fuzzers/fuzzer1/crashes/id:000104,sig:11,src:000001+001027,op:splice,rep:128",99,success,"{""candidates"": [{""addr"": ""0x3e56"", ""score"": 99}, {""addr"": ""0x3e56"", ""score"": 99}, {""addr"": ""0x3e5c"", ""score"": 98}, {""addr"": ""0x3e5a"", ""score"": 98}, {""addr"": ""0x3e52"", ""score"": 98}, {""addr"": ""0x3e50"", ""score"": 98}, {""addr"": ""0x3e5c"", ""score"": 98}, {""addr"": ""0x3e5a"", ""score"": 98}, {""addr"": ""0x3e52"", ""score"": 98}, {""addr"": ""0x3e50"", ""score"": 98}, {""addr"": ""0x3e58"", ""score"": 96}, {""addr"": ""0x3e58"", ""score"": 96}, {""addr"": ""0x3e58"", ""score"": 96}, {""addr"": ""0x3e58"", ""score"": 96}]}"
668,"id:000082,sig:11,src:000001+000487,op:splice,rep:128","main004/fuzzers/fuzzer1/crashes/id:000082,sig:11,src:000001+000487,op:splice,rep:128",99,success,"{""candidates"": [{""addr"": ""0x3e56"", ""score"": 99}, {""addr"": ""0x3e56"", ""score"": 99}, {""addr"": ""0x3e5c"", ""score"": 98}, {""addr"": ""0x3e5a"", ""score"": 98}, {""addr"": ""0x3e52"", ""score"": 98}, {""addr"": ""0x3e50"", ""score"": 98}, {""addr"": ""0x3e5c"", ""score"": 98}, {""addr"": ""0x3e5a"", ""score"": 98}, {""addr"": ""0x3e52"", ""score"": 98}, {""addr"": ""0x3e50"", ""score"": 98}, {""addr"": ""0x3e58"", ""score"": 96}, {""addr"": ""0x3e58"", ""score"": 96}, {""addr"": ""0x3e58"", ""score"": 96}, {""addr"": ""0x3e58"", ""score"": 96}]}"
668,"id:000003,sig:11,src:000000+000170,op:splice,rep:128","main004/fuzzers/fuzzer1/crashes/id:000003,sig:11,src:000000+000170,op:splice,rep:128",99,success,"{""candidates"": [{""addr"": ""0x3e56"", ""score"": 99}, {""addr"": ""0x3e56"", ""score"": 99}, {""addr"": ""0x3e5c"", ""score"": 98}, {""addr"": ""0x3e5a"", ""score"": 98}, {""addr"": ""0x3e52"", ""score"": 98}, {""addr"": ""0x3e50"", ""score"": 98}, {""addr"": ""0x3e5c"", ""score"": 98}, {""addr"": ""0x3e5a"", ""score"": 98}, {""addr"": ""0x3e52"", ""score"": 98}, {""addr"": ""0x3e50"", ""score"": 98}, {""addr"": ""0x3e58"", ""score"": 96}, {""addr"": ""0x3e58"", ""score"": 96}, {""addr"": ""0x3e58"", ""score"": 96}, {""addr"": ""0x3e58"", ""score"": 96}]}"
668,"id:000034,sig:11,src:000000+000689,op:splice,rep:64","main004/fuzzers/fuzzer1/crashes/id:000034,sig:11,src:000000+000689,op:splice,rep:64",99,success,"{""candidates"": [{""addr"": ""0x3e56"", ""score"": 99}, {""addr"": ""0x3e56"", ""score"": 99}, {""addr"": ""0x3e5c"", ""score"": 98}, {""addr"": ""0x3e5a"", ""score"": 98}, {""addr"": ""0x3e52"", ""score"": 98}, {""addr"": ""0x3e50"", ""score"": 98}, {""addr"": ""0x3e5c"", ""score"": 98}, {""addr"": ""0x3e5a"", ""score"": 98}, {""addr"": ""0x3e52"", ""score"": 98}, {""addr"": ""0x3e50"", ""score"": 98}, {""addr"": ""0x3e58"", ""score"": 96}, {""addr"": ""0x3e58"", ""score"": 96}, {""addr"": ""0x3e58"", ""score"": 96}, {""addr"": ""0x3e58"", ""score"": 96}]}"
668,"id:000124,sig:11,src:000001+000495,op:splice,rep:128","main004/fuzzers/fuzzer1/crashes/id:000124,sig:11,src:000001+000495,op:splice,rep:128",99,success,"{""candidates"": [{""addr"": ""0x3e56"", ""score"": 99}, {""addr"": ""0x3e56"", ""score"": 99}, {""addr"": ""0x3e5c"", ""score"": 98}, {""addr"": ""0x3e5a"", ""score"": 98}, {""addr"": ""0x3e52"", ""score"": 98}, {""addr"": ""0x3e50"", ""score"": 98}, {""addr"": ""0x3e5c"", ""score"": 98}, {""addr"": ""0x3e5a"", ""score"": 98}, {""addr"": ""0x3e52"", ""score"": 98}, {""addr"": ""0x3e50"", ""score"": 98}, {""addr"": ""0x3e58"", ""score"": 96}, {""addr"": ""0x3e58"", ""score"": 96}, {""addr"": ""0x3e58"", ""score"": 96}, {""addr"": ""0x3e58"", ""score"": 96}]}"
